timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569118345.0515800,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.119878,0.167034,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0212081,0.00577573,nan,,,,,,,,,,,,,,,,,,,,,0
1569118345.0516100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118345.0516300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118345.0516400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118345.0516500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118345.0516600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118345.1529400,,,,,,,,,0.0,0.215837,0.677924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1529900,,,,,,,,,,,,,0.0,-0.0402394,0.018332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530000,0.0,1.2105,1.1909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530200,,,,,0.0,0.418769,0.634124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530200,,,,,,,,,,,,,,,,,0.0,-0.333469,-0.827074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0751292,0.184759,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0416612,0.0404588,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1530600,,,,,,,,,,,,,,,,,,,,,nan,0.742123,0.601972,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1531000,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.119878,0.167034,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.1531200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0212081,0.00577573,nan,,,,,,,,,,,,,,,,,,,,,0
1569118345.1531400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118345.1531500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118345.1531600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118345.1531800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118345.1531900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118345.2544700,,,,,,,,,0.0,0.215837,0.677924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.2545100,,,,,,,,,,,,,0.0,-0.0402394,0.018332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
